ParkingZone,Restriction_Days,Time_Restrictions_Start,Time_Restrictions_Finish,Restriction_Display
7967,Sat-Sun,07:00:00,22:00:00,MP2P
7972,Mon-Fri,19:00:00,22:00:00,MP2P
7975,Mon-Fri,07:30:00,18:30:00,4P
7012,Sat,07:30:00,12:30:00,2P
7023,Sat,07:30:00,12:30:00,2P
7036,Mon-Fri,07:30:00,18:30:00,2P
7066,Sat,07:30:00,12:30:00,2P
7069,Mon-Fri,07:30:00,18:30:00,1P
7072,Mon-Fri,07:30:00,18:30:00,1P
7072,Sat,07:30:00,12:30:00,1P
7082,Mon-Fri,07:30:00,18:30:00,PP
7082,Sat,07:30:00,12:30:00,PP
7083,Sat,07:30:00,12:30:00,2P
7092,Sat,07:30:00,12:30:00,4P
7101,Sat,07:30:00,12:30:00,HP
7103,Mon-Fri,07:30:00,18:30:00,2P
7109,Mon-Fri,07:30:00,18:30:00,1P
7112,Mon-Fri,07:30:00,16:00:00,2P
7119,Mon-Fri,07:30:00,18:30:00,2P
7130,Mon-Fri,09:30:00,16:30:00,LZ30
7133,Mon-Fri,09:30:00,16:00:00,LZ30
7136,Mon-Fri,18:30:00,19:00:00,MP2P
7139,Sat-Sun,07:00:00,22:00:00,MP2P
7141,Mon-Fri,09:30:00,16:00:00,MP2P
7141,Mon-Fri,18:30:00,19:00:00,MP2P
7142,Mon-Fri,07:30:00,16:00:00,4P
7141,Sat-Sun,07:00:00,22:00:00,MP2P
7144,Mon-Fri,18:30:00,19:00:00,MP2P
7149,Mon-Fri,07:30:00,18:30:00,4P
7133,Sat-Sun,07:00:00,22:00:00,MP2P
7165,Mon-Sat,07:30:00,19:30:00,2P
7175,Mon-Sat,07:30:00,18:30:00,2P
7190,Mon-Fri,19:00:00,22:00:00,MP2P
7190,Mon-Fri,16:00:00,19:00:00,MP2P
7195,Mon-Sat,07:30:00,18:30:00,2P
7219,Sat-Sun,07:00:00,22:00:00,MP2P
7220,Mon-Sat,07:30:00,18:30:00,2P
7222,Mon-Fri,16:00:00,18:30:00,QP
7228,Mon-Fri,16:00:00,18:30:00,QP
7232,Mon-Sat,07:30:00,18:30:00,2P
7240,Mon-Fri,00:00:00,07:30:00,SP
7244,Sat,07:30:00,12:30:00,2P
7245,Mon-Fri,09:30:00,18:30:00,2P
7243,Sat,07:30:00,12:30:00,1P
7227,Mon-Sat,07:30:00,18:30:00,2P
7249,Mon-Sat,07:30:00,20:30:00,MP2P
7263,Sat,07:30:00,12:30:00,4P
7273,Sat-Sun,07:00:00,22:00:00,MP2P
7274,Sat-Sun,07:00:00,22:00:00,MP2P
7288,Mon-Fri,07:30:00,18:30:00,2P
7297,Mon-Fri,07:30:00,18:30:00,2P
7317,Mon-Fri,07:00:00,19:00:00,MP4P
7308,Mon-Fri,07:00:00,16:00:00,LZ30
7289,Sat,07:30:00,12:30:00,2P
7322,Mon-Fri,07:00:00,19:00:00,MP4P
7333,Mon-Fri,19:00:00,22:00:00,MP2P
7334,Mon-Fri,07:00:00,16:00:00,LZ30
7338,Mon-Fri,19:00:00,22:00:00,MP2P
7339,Mon-Fri,19:00:00,22:00:00,MP2P
7339,Sat-Sun,07:00:00,22:00:00,MP2P
7343,Sun,07:30:00,18:30:00,FP1P
7345,Sat-Sun,07:00:00,22:00:00,MP2P
7347,Mon-Fri,19:00:00,22:00:00,MP2P
7347,Sat-Sun,07:00:00,22:00:00,MP2P
7350,Mon-Fri,07:00:00,19:00:00,MP2P
7351,Mon-Fri,19:00:00,22:00:00,MP2P
7351,Sat-Sun,07:00:00,22:00:00,MP2P
7359,Mon-Fri,19:00:00,22:00:00,MP2P
7362,Sat-Sun,07:00:00,22:00:00,MP2P
7363,Mon-Fri,19:00:00,22:00:00,MP2P
7365,Mon-Fri,16:00:00,19:00:00,MP2P
7378,Mon-Fri,16:00:00,19:00:00,MP2P
7383,Mon-Fri,07:00:00,19:00:00,MP2P
7384,Mon-Fri,07:00:00,19:00:00,MP2P
7389,Mon-Fri,19:00:00,22:00:00,MP2P
7392,Sat,07:30:00,12:30:00,2P
7393,Mon-Sat,07:30:00,18:30:00,2P
7391,Sun,07:30:00,18:30:00,FP1P
7400,Mon-Fri,07:00:00,16:00:00,LZ30
7404,Mon-Fri,16:00:00,19:00:00,MP2P
7404,Mon-Fri,19:00:00,22:00:00,MP2P
7408,Sat-Sun,07:00:00,22:00:00,MP2P
7413,Mon-Fri,07:30:00,16:00:00,LZ15
7418,Mon-Fri,07:00:00,16:00:00,LZ30
7423,Sat-Sun,07:00:00,22:00:00,MP2P
7413,Mon-Fri,07:00:00,19:00:00,MP2P
7428,Sat-Sun,07:00:00,22:00:00,MP2P
7433,Sat-Sun,07:00:00,22:00:00,MP2P
7437,Mon-Fri,16:00:00,19:00:00,MP2P
7438,Sat-Sun,07:00:00,22:00:00,MP2P
7444,Mon-Fri,19:00:00,22:00:00,MP2P
7444,Sat-Sun,07:00:00,22:00:00,MP2P
7445,Mon-Fri,16:00:00,19:00:00,FP15
7446,Sat-Sun,07:00:00,22:00:00,MP2P
7455,Sat-Sun,07:00:00,22:00:00,MP2P
7458,Mon-Fri,19:00:00,22:00:00,MP2P
7462,Mon-Fri,07:00:00,19:00:00,MP2P
7472,Mon-Fri,19:00:00,22:00:00,MP2P
7478,Mon-Fri,19:00:00,22:00:00,MP2P
7481,Mon-Fri,19:00:00,22:00:00,MP2P
7491,Mon-Fri,07:00:00,16:00:00,LZ30
7492,Mon-Fri,19:00:00,22:00:00,MP2P
7496,Sat-Sun,07:00:00,22:00:00,MP2P
7503,Sat-Sun,07:00:00,22:00:00,MP2P
7504,Mon-Fri,07:00:00,16:00:00,LZ30
7504,Mon-Fri,19:00:00,22:00:00,MP2P
7512,Mon-Fri,07:00:00,16:00:00,LZ30
7514,Mon-Fri,19:00:00,22:00:00,MP2P
7512,Sat-Sun,07:00:00,22:00:00,MP2P
7517,Mon-Fri,19:00:00,22:00:00,MP2P
7518,Sat-Sun,07:00:00,22:00:00,MP2P
7529,Mon-Fri,16:00:00,19:00:00,MP2P
7529,Sat-Sun,07:00:00,22:00:00,MP2P
7533,Mon-Fri,07:00:00,19:00:00,MP2P
7534,Mon-Fri,07:00:00,19:00:00,MP2P
7536,Mon-Fri,17:00:00,22:00:00,MP2P
7541,Mon-Sat,07:30:00,20:30:00,MP2P
7548,Mon-Fri,19:00:00,22:00:00,MP2P
7549,Mon-Fri,19:00:00,22:00:00,MP2P
7562,Sat-Sun,07:00:00,22:00:00,MP2P
7563,Mon-Fri,18:00:00,19:00:00,MP2P
7569,Mon-Fri,16:00:00,19:00:00,MP2P
7573,Mon-Fri,19:00:00,22:00:00,MP2P
7576,Mon-Fri,19:00:00,22:00:00,MP2P
7583,Sat-Sun,07:00:00,22:00:00,MP2P
7590,Mon-Fri,19:00:00,22:00:00,MP2P
7591,Mon-Fri,19:00:00,22:00:00,MP2P
7601,Sat-Sun,07:00:00,22:00:00,MP2P
7603,Mon-Fri,19:00:00,22:00:00,MP2P
7608,Mon-Fri,16:00:00,19:00:00,MP2P
7611,Sat-Sun,07:00:00,22:00:00,MP2P
7612,Sat-Sun,07:00:00,22:00:00,MP2P
7608,Sat-Sun,07:00:00,22:00:00,MP2P
7622,Mon-Fri,19:00:00,22:00:00,MP2P
7622,Sat-Sun,07:00:00,22:00:00,MP2P
7615,Sat-Sun,07:00:00,22:00:00,MP2P
7625,Sat-Sun,07:00:00,22:00:00,MP2P
7628,Mon-Fri,07:00:00,19:00:00,MP2P
7633,Mon-Fri,16:00:00,19:00:00,MP2P
7635,Mon-Fri,16:00:00,19:00:00,MP2P
7638,Mon-Fri,07:00:00,19:00:00,MP2P
7639,Mon-Fri,19:00:00,22:00:00,MP2P
7641,Sat-Sun,07:00:00,22:00:00,MP2P
7642,Mon-Fri,19:00:00,22:00:00,MP2P
7647,Mon-Fri,19:00:00,22:00:00,MP2P
7647,Sat-Sun,07:00:00,22:00:00,MP2P
7650,Mon-Fri,07:00:00,19:00:00,MP2P
7650,Sat-Sun,07:00:00,22:00:00,MP2P
7653,Sat,07:30:00,12:30:00,2P
7654,Mon-Fri,07:30:00,18:30:00,1P
7656,Mon-Fri,07:30:00,18:30:00,1P
7663,Mon-Fri,07:00:00,19:00:00,MP4P
7660,Mon-Fri,19:00:00,22:00:00,MP2P
7667,Mon-Fri,07:30:00,18:30:00,1P
7674,Mon-Fri,19:00:00,22:00:00,MP2P
7673,Sat-Sun,07:00:00,22:00:00,MP2P
7676,Mon-Fri,07:00:00,16:00:00,LZ30
7676,Sat-Sun,07:00:00,22:00:00,MP2P
7693,Mon-Fri,16:00:00,19:00:00,MP2P
7692,Sat-Sun,07:00:00,22:00:00,MP2P
7699,Sat-Sun,07:00:00,22:00:00,MP2P
7701,Mon-Fri,07:00:00,19:00:00,MP2P
7702,Sat-Sun,07:00:00,22:00:00,MP2P
7704,Sat-Sun,07:00:00,22:00:00,MP2P
7720,Sat,07:30:00,12:30:00,2P
7723,Mon-Fri,07:30:00,18:30:00,PP
7727,Mon-Fri,07:30:00,18:30:00,2P
7727,Sat,07:30:00,12:30:00,2P
7734,Sat,07:30:00,12:30:00,PP
7753,Mon-Fri,07:30:00,18:30:00,2P
7752,Mon-Sat,07:30:00,18:30:00,1P
7761,Mon-Fri,07:30:00,18:30:00,4P
7762,Mon-Fri,10:00:00,19:00:00,MP2P
7769,Sat-Sun,07:00:00,22:00:00,MP2P
7776,Mon-Sat,07:30:00,18:30:00,4P
7784,Mon-Fri,07:30:00,18:30:00,4P
7798,Sat,07:30:00,12:30:00,PP
7799,Mon-Fri,07:30:00,18:30:00,4P
7807,Mon-Fri,07:30:00,18:30:00,PP
7807,Sat,07:30:00,13:30:00,PP
7802,Sat,07:30:00,12:30:00,4P
7818,Mon-Fri,19:00:00,22:00:00,MP2P
7814,Sat-Sun,07:00:00,22:00:00,MP3P
7819,Mon-Fri,19:00:00,22:00:00,MP2P
7820,Sat-Sun,07:00:00,22:00:00,MP2P
7821,Sat-Sun,07:00:00,22:00:00,MP2P
7828,Mon-Fri,19:00:00,22:00:00,MP3P
7831,Mon-Fri,07:00:00,19:00:00,MP3P
7830,Mon-Fri,16:00:00,19:00:00,FP15
7830,Sat-Sun,07:00:00,22:00:00,MP3P
7845,Sat-Sun,07:00:00,22:00:00,MP3P
7850,Mon-Fri,19:00:00,22:00:00,MP2P
7851,Mon-Fri,07:00:00,19:00:00,MP3P
7851,Mon-Fri,19:00:00,22:00:00,MP3P
7856,Mon-Fri,16:00:00,19:00:00,MP2P
7856,Sat-Sun,07:00:00,22:00:00,MP2P
7861,Sat-Sun,07:00:00,22:00:00,MP3P
7868,Mon-Fri,07:00:00,16:00:00,LZ30
7870,Sat-Sun,07:00:00,22:00:00,MP3P
7876,Mon-Fri,19:00:00,22:00:00,MP4P
7893,Mon-Fri,19:00:00,22:00:00,MP3P
7891,Mon-Fri,16:00:00,19:00:00,MP3P
7906,Sat-Sun,07:00:00,22:00:00,MP3P
7901,Mon-Fri,09:00:00,16:00:00,MP2P
7907,Mon-Fri,07:00:00,16:00:00,LZ30
7908,Sat-Sun,07:00:00,22:00:00,MP3P
7910,Mon-Sat,07:30:00,18:30:00,2P
7911,Mon-Fri,07:30:00,18:30:00,PP
7901,Sat-Sun,07:00:00,22:00:00,MP2P
7912,Mon-Fri,07:30:00,18:30:00,PP
7915,Mon-Fri,16:00:00,19:00:00,MP2P
7918,Mon-Fri,19:00:00,22:00:00,MP2P
7918,Sat-Sun,07:00:00,22:00:00,MP2P
7919,Sat,07:30:00,12:30:00,3P
7917,Mon-Fri,16:00:00,19:00:00,MP3P
7922,Mon-Sun,07:30:00,23:00:00,1P
7929,Mon-Fri,19:00:00,22:00:00,MP2P
7933,Mon-Fri,07:00:00,16:00:00,LZ30
7936,Mon-Fri,07:30:00,18:30:00,2P
7938,Mon-Fri,19:00:00,22:00:00,MP2P
7939,Mon-Fri,10:00:00,16:00:00,MP2P
7948,Mon-Fri,19:00:00,22:00:00,MP2P
7948,Sat-Sun,07:00:00,22:00:00,MP2P
7951,Mon-Fri,19:00:00,22:00:00,MP2P
7951,Sat-Sun,07:00:00,22:00:00,MP2P
7952,Mon-Fri,19:00:00,22:00:00,MP2P
7952,Sat-Sun,07:00:00,22:00:00,MP2P
7953,Mon-Fri,16:00:00,19:00:00,MP3P
7955,Mon-Fri,16:00:00,19:00:00,MP3P
7955,Mon-Fri,19:00:00,22:00:00,MP3P
7966,Sat,07:30:00,12:30:00,4P
7967,Mon-Fri,16:00:00,19:00:00,MP2P
7971,Mon-Fri,07:00:00,19:00:00,MP2P
7982,Mon-Fri,07:30:00,18:30:00,4P
7982,Sat,07:30:00,12:30:00,4P
7990,Mon-Fri,07:00:00,19:00:00,MP2P
7001,Sat,07:30:00,12:30:00,2P
7007,Sat,07:30:00,12:30:00,2P
7025,Mon-Fri,07:30:00,18:30:00,2P
7025,Sat,07:30:00,12:30:00,2P
7019,Sat,07:30:00,12:30:00,HP
7028,Sat,07:30:00,12:30:00,1P
7035,Sat,07:30:00,12:30:00,2P
7053,Mon-Sun,07:30:00,23:00:00,1P
7069,Sat,07:30:00,12:30:00,1P
7076,Mon-Fri,07:30:00,18:30:00,2P
7083,Mon-Fri,07:30:00,18:30:00,2P
7088,Mon-Fri,07:30:00,18:30:00,4P
7097,Mon-Fri,07:30:00,18:30:00,1P
7101,Mon-Fri,07:30:00,18:30:00,HP
7122,Mon-Fri,07:30:00,18:30:00,2P
7125,Mon-Fri,19:00:00,22:00:00,MP2P
7127,Sat-Sun,07:00:00,22:00:00,MP2P
7128,Mon-Fri,19:00:00,22:00:00,MP2P
7128,Sat-Sun,07:00:00,22:00:00,MP2P
7131,Mon-Fri,19:00:00,22:00:00,MP2P
7132,Sat-Sun,07:00:00,22:00:00,MP2P
7135,Mon-Fri,09:30:00,16:00:00,MP2P
7135,Mon-Fri,18:30:00,19:00:00,MP2P
7146,Mon-Fri,07:30:00,18:30:00,4P
7147,Sat,07:30:00,12:30:00,4P
7151,Mon-Fri,07:30:00,18:30:00,PP
7153,Mon-Fri,07:30:00,18:30:00,PP
7161,Mon-Sat,07:30:00,18:30:00,2P
7184,Mon-Sat,07:30:00,18:30:00,2P
7192,Mon-Sat,07:30:00,18:30:00,3P
7212,Mon-Sat,07:30:00,18:30:00,2P
7216,Mon-Fri,19:00:00,22:00:00,MP2P
7218,Mon-Fri,19:00:00,22:00:00,MP2P
7222,Mon-Fri,07:30:00,09:30:00,QP
7222,Sat,07:30:00,18:30:00,2P
7223,Mon-Fri,19:00:00,22:00:00,MP2P
7225,Mon-Fri,18:00:00,19:00:00,MP2P
7229,Mon-Fri,07:30:00,09:30:00,QP
7231,Mon-Sat,07:30:00,18:30:00,2P
7234,Sat,07:30:00,12:30:00,1P
7251,Mon-Fri,07:30:00,18:30:00,2P
7251,Sat,07:30:00,12:30:00,2P
7260,Mon-Fri,07:30:00,18:30:00,1P
7260,Sat,07:30:00,12:30:00,1P
7262,Mon-Fri,07:30:00,18:30:00,PP
7264,Mon-Fri,07:30:00,18:30:00,1P
7269,Mon-Sat,07:30:00,18:30:00,2P
7270,Mon-Fri,07:30:00,18:30:00,2P
7249,Sun,07:30:00,18:30:00,FP2P
7288,Sat,07:30:00,12:30:00,2P
7296,Mon-Fri,07:30:00,18:30:00,2P
7296,Sat,07:30:00,12:30:00,2P
7304,Mon-Fri,07:30:00,18:30:00,4P
7307,Sat-Sun,07:00:00,22:00:00,MP2P
7308,Mon-Fri,19:00:00,22:00:00,MP2P
7308,Sat-Sun,07:00:00,22:00:00,MP2P
7322,Sat-Sun,07:00:00,22:00:00,MP4P
7329,Mon-Fri,16:00:00,19:00:00,MP2P
7332,Mon-Fri,07:00:00,19:00:00,MP2P
7332,Mon-Fri,19:00:00,22:00:00,MP2P
7333,Sat-Sun,07:00:00,22:00:00,MP2P
7335,Sat-Sun,07:00:00,22:00:00,MP2P
7338,Mon-Fri,07:00:00,19:00:00,MP2P
7339,Mon-Fri,16:00:00,19:00:00,MP2P
7338,Sat-Sun,07:00:00,22:00:00,MP2P
7343,Sat-Sun,07:00:00,22:00:00,MP2P
7343,Mon-Fri,16:00:00,19:00:00,MP2P
7343,Mon-Sat,07:30:00,18:30:00,MP1P
7343,Mon-Sat,18:30:00,20:30:00,MP2P
7344,Mon-Fri,16:00:00,19:00:00,MP2P
7345,Mon-Fri,19:00:00,22:00:00,MP2P
7354,Mon-Fri,19:00:00,22:00:00,MP2P
7357,Mon-Fri,16:00:00,19:00:00,MP2P
7357,Sat-Sun,07:00:00,22:00:00,MP2P
7359,Mon-Fri,07:00:00,19:00:00,MP2P
7360,Mon-Fri,19:00:00,22:00:00,MP2P
7362,Mon-Fri,19:00:00,22:00:00,MP2P
7367,Mon-Fri,16:00:00,18:30:00,2P
7377,Sat-Sun,07:00:00,22:00:00,MP2P
7378,Mon-Fri,07:00:00,16:00:00,LZ30
7389,Mon-Fri,16:00:00,19:00:00,MP2P
7402,Mon-Fri,10:00:00,16:00:00,LZ30
7406,Sat-Sun,07:00:00,22:00:00,MP2P
7417,Sat-Sun,07:00:00,22:00:00,MP2P
7423,Mon-Fri,07:00:00,16:00:00,LZ30
7425,Mon-Fri,19:00:00,22:00:00,MP2P
7436,Mon-Fri,19:00:00,22:00:00,MP2P
7442,Mon-Sun,07:30:00,23:00:00,2P
7448,Mon-Fri,10:00:00,16:00:00,MP1P
7448,Mon-Sat,18:30:00,20:30:00,MP2P
7450,Mon-Fri,16:00:00,19:00:00,MP2P
7451,Mon-Fri,19:00:00,22:00:00,MP2P
7452,Mon-Fri,19:00:00,22:00:00,MP2P
7454,Mon-Fri,07:00:00,16:00:00,LZ30
7458,Mon-Fri,07:00:00,19:00:00,MP2P
7459,Mon-Fri,19:00:00,22:00:00,MP2P
7462,Sat-Sun,07:00:00,22:00:00,MP2P
7468,Sat,07:30:00,12:30:00,PP
7469,Mon-Fri,07:30:00,16:30:00,PP
7469,Sat,07:30:00,12:30:00,PP
7471,Mon-Fri,10:00:00,16:00:00,MP2P
7471,Mon-Fri,19:00:00,22:00:00,MP2P
7478,Sat-Sun,07:00:00,22:00:00,MP2P
7493,Mon-Fri,19:00:00,22:00:00,MP2P
7496,Mon-Fri,07:00:00,19:00:00,MP2P
7497,Mon-Fri,16:00:00,19:00:00,MP2P
7497,Sat-Sun,07:00:00,22:00:00,MP2P
7500,Mon-Fri,07:00:00,19:00:00,MP2P
7504,Mon-Fri,16:00:00,19:00:00,MP2P
7507,Mon-Fri,07:00:00,16:00:00,LZ30
7509,Mon-Fri,19:00:00,22:00:00,MP2P
7514,Mon-Fri,16:00:00,19:00:00,MP2P
7518,Mon-Fri,07:00:00,19:00:00,MP2P
7519,Mon-Fri,07:00:00,19:00:00,MP2P
7519,Mon-Fri,19:00:00,22:00:00,MP2P
7522,Mon-Fri,19:00:00,22:00:00,MP2P
7534,Sat-Sun,07:00:00,22:00:00,MP2P
7536,Mon-Fri,16:00:00,19:00:00,MP2P
7537,Mon-Fri,19:00:00,22:00:00,MP2P
7543,Mon-Fri,07:00:00,19:00:00,MP2P
7543,Mon-Fri,19:00:00,22:00:00,MP2P
7547,Sat-Sun,07:00:00,22:00:00,MP2P
7551,Mon-Fri,19:00:00,22:00:00,MP2P
7552,Mon-Fri,19:00:00,22:00:00,MP2P
7558,Mon-Fri,10:00:00,16:00:00,LZ30
7559,Sat-Sun,07:00:00,22:00:00,MP2P
7560,Mon-Fri,07:00:00,16:00:00,LZ30
7561,Mon-Fri,18:00:00,19:00:00,MP2P
7563,Mon-Fri,09:00:00,16:00:00,LZ30
7563,Mon-Fri,19:00:00,22:00:00,MP2P
7564,Sat-Sun,07:00:00,22:00:00,MP2P
7568,Sat-Sun,07:00:00,22:00:00,MP2P
7571,Mon-Fri,07:00:00,19:00:00,MP2P
7572,Mon-Fri,19:00:00,22:00:00,MP2P
7574,Mon-Fri,10:00:00,19:00:00,MP2P
7579,Mon-Fri,07:00:00,16:00:00,LZ30
7583,Mon-Fri,16:00:00,19:00:00,MP2P
7584,Sat,07:30:00,18:30:00,PP
7588,Mon-Sat,07:30:00,18:30:00,3P
7595,Sat-Sun,07:00:00,22:00:00,MP2P
7596,Sat-Sun,07:00:00,22:00:00,MP2P
7593,Sat-Sun,07:00:00,22:00:00,MP2P
7606,Mon-Fri,07:00:00,16:00:00,LZ30
7607,Sat-Sun,07:00:00,22:00:00,MP2P
7624,Sat-Sun,07:00:00,22:00:00,MP2P
7626,Sat-Sun,07:00:00,22:00:00,MP2P
7623,Sat-Sun,07:00:00,22:00:00,MP2P
7629,Sat-Sun,07:00:00,22:00:00,MP2P
7635,Mon-Fri,07:00:00,16:00:00,LZ30
7637,Sat-Sun,07:00:00,22:00:00,MP2P
7645,Mon-Fri,19:00:00,22:00:00,MP2P
7649,Mon-Fri,07:00:00,19:00:00,MP2P
7649,Sat-Sun,07:00:00,22:00:00,MP2P
7650,Mon-Fri,19:00:00,22:00:00,MP2P
7651,Mon-Fri,07:00:00,19:00:00,MP4P
7651,Sat-Sun,07:00:00,22:00:00,MP4P
7658,Mon-Fri,07:30:00,18:30:00,1P
7657,Mon-Fri,07:30:00,18:30:00,1P
7662,Sat,07:30:00,12:30:00,3P
7663,Mon-Fri,19:00:00,22:00:00,MP4P
7660,Mon-Fri,16:00:00,19:00:00,MP2P
7669,Mon-Fri,07:30:00,16:30:00,2P
7673,Mon-Fri,07:00:00,16:00:00,LZ30
